category,true_label,pred_label,confidence,text_len_words,text
TN,0,0,0.4259,10,are you hungry ? i can bake you something .
TP,1,1,0.7443,14,any books in about horses ? i love horses mines name is beauty .
TN,0,0,0.4531,15,i trust only you . my vera is nice . why is yours dead ?
TP,1,1,0.9112,12,i am going to watch football . what are you canning ?
TP,1,1,0.9037,5,my major is business .
FP,0,1,0.5922,12,cool . . . i followed my father and became an author
FN,1,0,0.414,16,"i know , right ? that is why culinary school was where i ended up ."
FP,0,1,0.8898,11,"oh , you can never be too tall to dance !"
TN,0,0,0.1244,18,maybe i could introduce you to my sister in law . she's all wrong for my brother .
TP,1,1,0.9278,5,i never eat veggies .
FP,0,1,0.6288,6,how does that feel for you
TP,1,1,0.7292,4,i love animals .
FP,0,1,0.9389,9,how so ? organic food is not nice .
TP,1,1,0.9248,11,"i hate my parents , but i love my job ."
TP,1,1,0.7735,12,hi . i love to garden . what do you do ?
TN,0,0,0.3845,17,sounds like we have a lot in common . how do you feel about urban farms ?
TP,1,1,0.9537,5,i work in a factory
TN,0,0,0.442,14,"if i were a fish , i would be all over fried chicken ."
TP,1,1,0.8456,6,i am a guitar player .
TN,0,0,0.4162,9,make sure you spell the food right ! d
FN,1,0,0.3741,14,"its nice to have simple pleasures , i love the simple things in life"
TP,1,1,0.8683,8,i climb trees because i'm a spider monkey
TP,1,1,0.6239,6,i graduated college in 2016 .
FP,0,1,0.6582,9,"that is good , salads all day everyday ."
TP,1,1,0.8731,10,"i love pizza , but my favorite cuisine is thai"
TP,1,1,0.6941,8,i am getting married in six months .
TP,1,1,0.8468,4,i am thin .
TP,1,1,0.9393,10,i am not really sure . whenso your birthday ?
FP,0,1,0.7993,9,i've a girlfriend very in love hope to marry
TN,0,0,0.2127,19,"you got it , that is why i can not stand skiing . can not wear the boots ."
FP,0,1,0.696,15,fill out the necessary paperwork and send it to the rector of your parrish .
TP,1,1,0.9321,9,i try i like video games and race cars
FP,0,1,0.5626,9,amazing have any pets ? i've three cats .
FP,0,1,0.6383,14,"i really enjoy free diving , how about you , have any hobbies ?"
TP,1,1,0.9435,6,nachos are my favorite food .
TP,1,1,0.9169,5,i'm from the planet saturn
TN,0,0,0.1716,8,good luck . that's a rough thing .
FP,0,1,0.5369,10,no i don't have any it was boring growing up
TP,1,1,0.6668,10,i did a few small roles in tv series .
TP,1,1,0.8694,6,i like to write poetry .
TP,1,1,0.6259,8,i used to be in the marines .
TP,1,1,0.887,14,"my mom works as a cashier at walmart , i live in her basement"
FP,0,1,0.8688,13,"not necessarily , but if i stole something that was originally mine ?"
FP,0,1,0.9321,6,i bet that it really hurts
TN,0,0,0.4978,23,6 foot . my girl friend is 6 2 . love those long legs . she is beautiful . how about you ?
TP,1,1,0.7698,9,i do also . where do you live ?
FN,1,0,0.4564,8,i love to do yoga . you ?
FP,0,1,0.8283,12,totally . i always look for ways to make money easily .
FP,0,1,0.5512,16,"i went to the salon , i fit in with the other girls at school ."
FP,0,1,0.9038,6,my granny loves to cliff dive
FP,0,1,0.7618,6,"did i say beer , lol"
TP,1,1,0.823,7,my grandmother lives in my guesthouse .
TP,1,1,0.7049,6,i am good thanks for asking
TP,1,1,0.6693,15,i agree . i like having a picnic and looking at the cloud shapes .
FP,0,1,0.648,8,i would love to travel as well .
TP,1,1,0.7377,7,madonna is my all time favorite .
TP,1,1,0.8487,7,my mother was born in ireland .
FN,1,0,0.2767,13,"i am well , what do you do in your spare time ?"
FP,0,1,0.8737,17,"saving for college . my parents kicked me out at 14 , so its been rough ."
FN,1,0,0.2645,17,oh okay . that is interesting . i live by myself and work on cars a lot
FP,0,1,0.9465,5,do you get free pizza
TP,1,1,0.9034,12,i'm doing good should be sleeping i have school but cant sleep
FP,0,1,0.6992,17,"no just cats . i travel a lot , traveled around world on boat last year ."
FP,0,1,0.6396,6,that does sound fun take me
FN,1,0,0.4607,8,yeah it is because people can talk .
TN,0,0,0.0782,19,"yea . not to mention , i get made fun of a lot . not happy with my image"
TP,1,1,0.8224,9,i like to go fishing on the lake .
TN,0,0,0.3678,13,"very good , lots of downtime for reading . how about you ?"
TP,1,1,0.8928,7,i love to cut down trees .
TP,1,1,0.8058,11,starbucks ! i love the atmosphere and they treat employees great
TN,0,0,0.1225,13,"awww , that's precious . i feel the same way about my mom"
FP,0,1,0.6423,14,wish i can site it at the beach love reading books at the beach
FN,1,0,0.2461,16,"i love animals , so much so i'm vegan . you know what that is ?"
FP,0,1,0.9319,6,do you know mike trout ?
TP,1,1,0.8457,5,i love to sing .
FP,0,1,0.5464,13,how nice . once i get my bachelors degree a great honeymoon spot
FP,0,1,0.8649,14,"music ? my fav singer of forever is ke ha , like wow ."
TP,1,1,0.7847,19,when i am not chasing my siberian huskies 2 of them ! i like to play the guitar .
TP,1,1,0.6843,11,i am not into meat and cut back stayed vegan .
FP,0,1,0.6656,10,that is very true . do you ever donate ?
TP,1,1,0.9222,5,i m from texas .
FP,0,1,0.8101,9,i suppose i should . got any hobbies ?
TP,1,1,0.8157,6,my favorite color is blue .
TP,1,1,0.7132,12,i live in providence and work at a publishing building downtown .
FN,1,0,0.0788,18,"hello , i am doing well . another day , another dollar , driving for the man ."
FP,0,1,0.7731,13,"my brother does too , especially since our parents moved to florida recently"
FP,0,1,0.7191,15,savage ? do you like death metal ? i know a member of martius .
FP,0,1,0.7342,9,halo is fine . where are you from ?
FP,0,1,0.6317,16,they're great . my mom and dad got it for me i still live with them
FN,1,0,0.4619,6,i've a cat named leela .
FN,1,0,0.2539,13,i am spending time with my 4 sisters what are you up to
TP,1,1,0.868,8,i'm enrolled in several college credit courses .
TP,1,1,0.676,12,i sleep 10 hours every day because my work is tiring .
TN,0,0,0.4183,12,sounds super cool . i once created a dragon themed website .
TN,0,0,0.1393,15,"lol , i can imagine . i'll be reading a lot when football is over"
TP,1,1,0.787,4,i'm very athletic .
FP,0,1,0.766,9,me to ! i u don't like meat anymore
TP,1,1,0.5272,16,i'm heading to work but stopping to pick up a birthday gift for my husband .
FP,0,1,0.7649,9,"no , i do not make enough money ."
FP,0,1,0.5248,9,so are you in an orchestra or something ?
FP,0,1,0.5395,11,"hello , how are you doing tonight ? its midnight here"
FP,0,1,0.7741,10,do you write for a living or as a hobby
TP,1,1,0.8319,6,my favorite band is tool .
TP,1,1,0.8761,13,i only use apple products because i feel everything else is inferior .
FN,1,0,0.1537,14,i am okay . i wish i was more tired though . you ?
FP,0,1,0.6696,14,my pet snake makes me smile . do you guys have any kids ?
TP,1,1,0.8788,10,ke ha is my favorite singer of all time .
TP,1,1,0.8322,8,i work as a stand up comedian .
TP,1,1,0.8371,5,i need some new friends
TP,1,1,0.684,5,i have four sisters .
FN,1,0,0.4614,9,"i'm sad as well , missing my father today"
FN,1,0,0.127,19,oh okay . i will hurry . i work for a non profit organization that helps children in need
FP,0,1,0.896,6,you play tennis or coach ?
TN,0,0,0.2658,14,oh that could be a problem lol . what do you do for fun
TP,1,1,0.9371,6,i have a boxer dog .
TN,0,0,0.3531,15,"photographer , how about you ? what do you do ? hobbies ? spouse ?"
TP,1,1,0.8421,4,i have epilepsy .
TN,0,0,0.3367,7,hi ! how was your weekend ?
TP,1,1,0.939,6,my class has 26 kids .
TP,1,1,0.8031,12,i think my mother was a bit touched in the head .
TP,1,1,0.9147,4,i hate tofu .
FP,0,1,0.5351,11,lol its ok . what do you do for a living
TP,1,1,0.6763,16,i love it as much as i love walking dogs . where do you work ?
FP,0,1,0.5637,6,"that sounds relaxing , i suppose"
TN,0,0,0.409,20,cute ! my college sweetie and i are more into swimming . ya will have any other couple activities ?
TP,1,1,0.7084,6,virginia and i am not nope
FP,0,1,0.844,14,oh does it really ? i squat 400 pounds . 400 ! ! !
TP,1,1,0.82,14,cool ! i love staring at clouds . flying must be even better !
TP,1,1,0.7903,12,on sundays i like to make breakfast . i too like cooking
TP,1,1,0.8846,9,i m a truck driver in the south .
TN,0,0,0.2268,12,it was big ! its why i cant really see anymore lol
TP,1,1,0.9599,8,i only date people taller than me .
TP,1,1,0.8728,4,i like baths .
FN,1,0,0.3797,15,"books are my greatest pleasure , i have a nice little library i'm building ."
TP,1,1,0.8548,5,i just graduated college .
TP,1,1,0.9109,10,i enjoy playing retro video games on my 386 .
TN,0,0,0.3739,16,"crazy , my wife is vera . were you wondering what had become of her ?"
TP,1,1,0.6964,5,i love to read .
TP,1,1,0.9017,6,i like to wear boots .
TN,0,0,0.1748,5,that's quite alright good sir
TN,0,0,0.4797,14,that's awesome . do you have a favorite season or time of year ?
FP,0,1,0.6846,14,"no , saving money to move to australia to marry my boyfriend soon ."
TP,1,1,0.9169,8,i honestly do . i hate fighting .
FN,1,0,0.3287,11,i am in argentina myself . with my lovely horses .
TP,1,1,0.6892,5,i love to crochet .
FP,0,1,0.6893,6,hello what are you doing ?
FP,0,1,0.9837,11,"sometimes i steal them , dust allergies this time of year"
TP,1,1,0.8913,6,both my parents were teachers .
FP,0,1,0.8732,6,it is how you like it
FP,0,1,0.5538,11,"that is cool , i used to have six cats ."
TP,1,1,0.593,10,my husband is a soldier in the us army .
TP,1,1,0.8546,11,i love tattoos i want to get more only have 2
TP,1,1,0.8965,4,i watch basketball .
TP,1,1,0.9137,4,i wear contacts .
TN,0,0,0.3579,15,i really only can offer advice on colder parts of the country . sorry .
FP,0,1,0.9261,5,i've a cat named radar
TP,1,1,0.6124,8,my father was also in the military .
FP,0,1,0.7386,6,did you go to college ?
TP,1,1,0.7586,7,yeah i live with my parents now
TN,0,0,0.4024,14,"build houses upon request , provide job training , maybe provide some money too"
FP,0,1,0.6037,7,good job that must take patience ?
FN,1,0,0.2049,13,"i'm a pathological liar , i make people upset and we fight ."
TN,0,0,0.3669,17,yes . . . about the batteries exploding ? what kind of work do you do ?
TP,1,1,0.8707,4,i've a cat .
FP,0,1,0.6362,8,"3 years , where do you work ?"
FN,1,0,0.4897,12,"hello , i've to be quick because i work in a hospital"
FP,0,1,0.5463,9,gonna go to the creek with my family !
TP,1,1,0.6125,14,i love people . pretty much a social queen . any other hobbies ?
TN,0,0,0.3942,17,hey how are you ? i wanted to go to florida to surf but no way !
FP,0,1,0.7084,11,i really love mexican food . burritos are my favorite !
TP,1,1,0.8925,11,i love pizza and i love to watch shows about superheroes
TP,1,1,0.7915,6,i work at barnes and noble
TP,1,1,0.8504,12,i like fall and winter . summers are too hot here .
TP,1,1,0.727,7,i'm angela my friends call me bubblegum
TN,0,0,0.4937,14,staying here is fine too though . my two dogs keep me company .
FP,0,1,0.6911,13,dialectical behavioral therapy . i use it to help with my borderline personality
TP,1,1,0.5734,10,i do own it i think there is confusion ?
TN,0,0,0.0614,12,lol nice . . well it was great talking to you !
TN,0,0,0.369,14,"hi , how are you doing today ? do you have any hobbies ?"
TN,0,0,0.3024,13,they're nice . i cook for them in appreciation of their help .
TP,1,1,0.9392,5,i love collecting teapots .
TP,1,1,0.8014,8,i design video games for a living .
TP,1,1,0.7517,7,i do not know much about cows
TN,0,0,0.4331,14,"just graduated , now teaching kindergarten in ny to 26 angels . you ?"
FN,1,0,0.2766,15,"i am doing well , working on my next youtube video . how are you"
TP,1,1,0.8762,7,i work as an interior designer .
FP,0,1,0.8172,6,do you own your own company
TN,0,0,0.1637,13,how did you know that is my favorite ! what about you ?
TP,1,1,0.8054,10,"no , i am more of a computer geek ."
TP,1,1,0.6483,7,i have a horse named beauty .
TP,1,1,0.5693,12,i also remodel homes when i am not out bow hunting .
TP,1,1,0.9445,7,i am under 6 feet tall .
FP,0,1,0.7201,6,yes . lots of rabbits .
TP,1,1,0.5908,13,yeah they do all they can for me i'm lucky to have them
TP,1,1,0.5404,7,i've been divorced for 2 years .
FP,0,1,0.6215,7,you have a very important job also
TP,1,1,0.5014,14,pie sounds good . maybe you could bake one for my book club .
TP,1,1,0.6648,13,maybe ! would you give them to the people using your app ?
TP,1,1,0.8085,18,"not bad , but since i have six toes on my left foot , it always hurts ."
TN,0,0,0.3125,14,"hi , its great . just watching some videos , what about you ?"
TP,1,1,0.8646,9,i am the middle child of 3 siblings .
FP,0,1,0.5983,13,my family works for ge . my father included though recently retired .
TP,1,1,0.78,6,i have a pet snake .
FP,0,1,0.8389,5,what are your favorite things
FP,0,1,0.9287,9,do you have a good relationship with your parents
FN,1,0,0.3092,18,that will be nice . i want to do as much as i can while i'm young .
TP,1,1,0.9245,7,i don t like the beach .
TP,1,1,0.9078,6,zebras are my favorite animals .
TN,0,0,0.4844,9,it is and i can be quite witty .
FP,0,1,0.8951,4,she's almost 8 months
TP,1,1,0.851,6,that's great ! i like hockey
FP,0,1,0.8143,5,i hike at the park
TP,1,1,0.7617,16,"i'm getting a degree in health science , food and water are important to me ."
FP,0,1,0.7017,9,yes actually . the love and war again .
FP,0,1,0.8193,15,"and interrupted my favorite tv show , the voice . whats your favorite show ?"
TP,1,1,0.5526,15,i thought i'd make a pretty good fashion designer since i love to shop .
TP,1,1,0.9166,11,i can only see 200 feet in front of me .
TP,1,1,0.6097,17,i want to start a juicy bar and needs help . can you help find some ?
TP,1,1,0.9229,7,i watch a lot of tv .
TP,1,1,0.5003,18,that is very selfless of you . what if your target population does not have phone access ?
FP,0,1,0.9076,15,urban farms are the best . there's one on top of my apartment building .
TP,1,1,0.8979,5,i really like technology .
TP,1,1,0.6709,16,"i have a samsung phone but i like i phones better , what about you ?"
FP,0,1,0.8563,7,are you an alien or something ?
TP,1,1,0.9066,11,"i love zebras , you must look cute on those socks"
TN,0,0,0.2627,15,that's why i run for long periods so i can keep my sanity intact .
TN,0,0,0.4784,11,cuddle time with the animals ! do you have hobbies ?
TP,1,1,0.7657,14,i am more into hard rock . who do you know from martius ?
TP,1,1,0.879,11,"i like video games too , fallout is my favorite ."
TP,1,1,0.9311,16,i live with my mom and watch a lot star trek . ever seen it ?
TN,0,0,0.378,8,"hi , how are you doing today ?"
TN,0,0,0.4305,14,"perhaps , but my father is a minister and he wouldn't like that ."
FP,0,1,0.5129,15,i hear the latest ones are waterproof . maybe i could take it snorkeling !
FN,1,0,0.3193,12,i do not like disappointing and deceiving the people i love .
TP,1,1,0.6817,8,i've sandy brown hair and green eyes .
TP,1,1,0.8032,9,i'm gong to adopt a dog very soon .
TP,1,1,0.8744,6,yellow is my favorite color .
FP,0,1,0.7909,7,oh no why are u confined ?
TP,1,1,0.9001,9,i love going shopping when i am not knitting
FP,0,1,0.9168,9,who says fashion designer isn't a real job ?
FN,1,0,0.4659,14,"that is so cool ! i'm more simple , i just like catching sunfish"
FN,1,0,0.4149,16,"i am sure they're easier to communicate with , though . animals are a handful !"
FP,0,1,0.8793,11,can you prove that ? i might eat dust today .
FN,1,0,0.4436,8,i am doing good just feeding my snake
FP,0,1,0.5149,13,that is impressive . do you get a lot of exercise there ?
FN,1,0,0.1433,18,"oh boy do i lol i bake alot when i have spare time , would love to share"
TP,1,1,0.8062,8,i play guitar in the local band .
TP,1,1,0.9152,7,my dad worked for home depot .
FN,1,0,0.3458,12,i play the drums too . i hope you aren't vegetarian .
FP,0,1,0.9114,6,my dog will not stop barking
TN,0,0,0.4959,10,i spend a lot of time in my garden .
FN,1,0,0.2783,14,helping people is my real love . thank you for chatting with me !
TP,1,1,0.7711,13,my favorite music is two steps from hell and rock opera genre .
FP,0,1,0.6273,14,"gas , gas and more gas not gasoline happens when i eat pudding ."
FN,1,0,0.1438,16,"that is ok , the snow can be enjoyable sometimes . i like christmas especially ."
FP,0,1,0.5277,15,very cool . i shoot short films with my cam my folks got me .
FP,0,1,0.9342,5,its hard not to sometimes
TN,0,0,0.3495,17,she might . she thinks she is better than me because she has an actual job .
TN,0,0,0.4606,17,thank you . i also donate blood in honor of my deceased sister . do you ?
FP,0,1,0.5316,6,oh why do you say ?
FP,0,1,0.556,18,"do you have animals ? i've 1 dog , 1 cat . cat is bigger than dog ."
FN,1,0,0.4596,14,i work as a gourmet cook who also has a pitch perfect voice .
TP,1,1,0.9492,10,i live on the third floor in an apartment .
TP,1,1,0.8266,13,i have not gotten to read lately because i broke my glasses .
TN,0,0,0.4885,5,no retired veteran and you
TN,0,0,0.4864,7,that is okay keep working at it
FP,0,1,0.5199,5,hey how are you ?
TN,0,0,0.4595,10,"that's very nice , do you see them often ?"
TN,0,0,0.3968,17,okay . . rough day waiting tables . . headed to class soon . and you ?
FN,1,0,0.2769,16,"i am great , just planning a hike for this weekend . how are you ?"
TP,1,1,0.6513,6,i've a horse named beauty .
TP,1,1,0.8969,8,i got married to my highschool friend .
TP,1,1,0.8033,5,i have two children .
TP,1,1,0.8573,6,my favorite food is cheese .
TP,1,1,0.5462,19,i am still in love with my ex boyfriend but trying to move on . are you single ?
TP,1,1,0.7399,5,i like alternative rock .
TP,1,1,0.7738,7,my favorite drink is cuba libre .
TN,0,0,0.4673,12,". yeah , i can see like 200 in front of me"
FP,0,1,0.7845,14,you sure can ! i met him in a cave during halloween last year
TP,1,1,0.53,13,i do not believe i have read that . is it good ?
TP,1,1,0.692,14,it is i'm a giant nerd lol . do you sell nice sports cars
TP,1,1,0.8359,7,i'm a graduate student studying law .
TP,1,1,0.8008,6,rock music is my favorite .
TP,1,1,0.9627,6,my husband is a cop .
FP,0,1,0.9127,15,i was a head high school coach until a freak carrot accident . . .
TP,1,1,0.6439,7,i have a dog named bob .
FP,0,1,0.5369,13,lol yes but its worth saying twice . do you like piggies ?
FP,0,1,0.5878,15,it starts with self acceptance and confidence and being proud of who you are .
TP,1,1,0.6805,4,i've one son .
FP,0,1,0.8712,7,are you a boy or a girl
FP,0,1,0.8862,14,i always wear black . except the spikes on my collar are stainless .
TP,1,1,0.8399,8,i do after a long day at work
TP,1,1,0.7534,16,i am a single unemployed mom at the moment . but read tons of book .
FP,0,1,0.6702,15,yes ! i rode my bike to the last one that was in town .
TP,1,1,0.5833,13,the witch is dead . i have a cat his name is speckles
FP,0,1,0.5302,9,do you enjoy the internet ? i sure od
TN,0,0,0.4597,11,great . do you want to be my friend ? ?
TP,1,1,0.7854,18,never . i have been playing since i was four . it pays more than lifting weights .
TP,1,1,0.8464,13,i'm a boy . or a girl . or a cat ink anymore
TP,1,1,0.7592,5,i love to cook .
TP,1,1,0.545,6,i am great and you ?
TP,1,1,0.838,4,i'm a dancer .
FP,0,1,0.8173,8,what did one hillbilly say to another ?
TP,1,1,0.7744,11,i like to cook a little i am really into larp
TP,1,1,0.81,13,"i work at one of the major coffee chains , i love it"
FP,0,1,0.7799,14,like how ? how could a pet help a strong man like me ?
TP,1,1,0.5559,14,no but i used to be i am employed at a pizza restaurant .
TP,1,1,0.7921,16,"i do not . my husband wants a boy , he is in the army ."
FP,0,1,0.9482,5,i've wanted an iphone .
FP,0,1,0.7149,12,are there nice gentlemen there that like women with 4 breasts ?
TP,1,1,0.6545,9,i traveled around the world in a boat .
FP,0,1,0.7795,8,do you like to play video games ?
FN,1,0,0.3148,14,why are you so tired ? i can sleep when i am dead .
TN,0,0,0.4856,9,well it is a crime . just saying .
TP,1,1,0.9406,3,i'm tall .
TP,1,1,0.8764,8,i moved out when i was 14 .
FP,0,1,0.7653,9,have you even been to canada for snowboarding ?
FP,0,1,0.754,8,sure . you like going to concerts ?
TP,1,1,0.7841,11,"hello , are you a comic book collector like me ?"
TN,0,0,0.146,10,oh maybe you should help me and donate them .
FP,0,1,0.8206,7,why does not she get it ?
FP,0,1,0.8559,6,"watching a movie tonight , titanic"
FP,0,1,0.6824,11,so you have two cats ? what are their names ?
FP,0,1,0.7608,6,do you have any pets ?
TP,1,1,0.7618,16,i am not sure i hope its a boy . my dad is so judgemental .
FP,0,1,0.704,14,have you tried playing games with them ? role playing can be fun !
TP,1,1,0.8721,10,i had a gig at local theater last night .
TP,1,1,0.7377,13,"i love halo 3 , it is my favorite video game to play"
FP,0,1,0.8695,8,whats free diving ? never heard of it
TP,1,1,0.9391,5,i eat large meals .
TP,1,1,0.8348,12,i do . i travel extensively to europe and south america .
FP,0,1,0.5995,6,hello . how are you ?
TN,0,0,0.3013,18,"single and loving it ! ! living in a boston suburb , there are many fish here ."
TP,1,1,0.8558,5,i am currently unemployed .
FP,0,1,0.7296,7,never give up something you love !
TN,0,0,0.0331,11,same here . i hope to have some one day .
FP,0,1,0.8562,11,"you can eat meat with me , red as my hair"
FP,0,1,0.7614,10,no i don't . have you ever went skydiving ?
FN,1,0,0.4922,16,"i love animals ! i have a dog named allie , and i adore her ."
TP,1,1,0.6602,10,i enjoy the outdoors and love to sit around water
TN,0,0,0.4703,7,hey there how are you tonight ?
FP,0,1,0.706,6,anything to fix my ugly elf
FP,0,1,0.5195,10,yes ! taking care of children plus two pets too
FP,0,1,0.9258,10,"really . but , i can sing pitch perfect ."
TP,1,1,0.5396,9,"i do love to walk , hike also ."
FP,0,1,0.8934,6,what is your favorite band ?
TP,1,1,0.8891,11,hello . i like to gish with my black lab cat
TP,1,1,0.5708,12,6 ft . feels like i am towering over these females .
TP,1,1,0.8146,5,i'm a hair stylist .
TP,1,1,0.8181,11,wow i love horses what are some of their names ?
TP,1,1,0.7848,8,i work on cars for a living .
TN,0,0,0.4484,15,no pets i sometimes think my nephew as pets lol no different than a puppy
FP,0,1,0.8228,12,"i didn't finish school , i enlisted in the army instead ."
FP,0,1,0.6417,11,why is he judgemental ? do you have a job ?
TP,1,1,0.8097,8,i'm trying to get my ba in finance
TP,1,1,0.8416,13,i just accepted a job at the elementary school in my hometown .
TP,1,1,0.8537,12,depends on what inspires your imagination . i like historical colonial reads
TN,0,0,0.449,18,"i hope you don't live in ny , too , there are a lot of pollutants here ."
TN,0,0,0.3122,11,"doing great . i had the day off , you ?"
FN,1,0,0.4316,18,i like to drink beer with my mom . she's my best friend and is sn fun .
TP,1,1,0.8677,7,my favorite book is david copperfield .
FP,0,1,0.8669,10,it is ! what state do you live in ?
TP,1,1,0.8317,14,yes . . . do you know if there's a book 16 candles ?
FP,0,1,0.8566,8,shibamotos art is amazing is not it ?
FP,0,1,0.8624,9,nice . stay in school and work hard .
TN,0,0,0.3079,15,if only i had the money and friends . sadly i don't have either .
FP,0,1,0.5282,6,you'll get there soon enough .
FN,1,0,0.4822,16,"nice , shop me a candy next time as i'm curious how it tastes like ."
FN,1,0,0.4305,14,oh yes . i get weird looks though because i am a girl .
FP,0,1,0.5376,17,"pretty good , drinking a nice cold pepsi , they are awesome . why so tired ?"
TP,1,1,0.7135,6,sounds interesting i live in seattle
TP,1,1,0.8673,7,my mom is my best friend .
TP,1,1,0.8875,7,my favorite player is mike trout .
FP,0,1,0.8986,7,yes but i only really watch hockey
FP,0,1,0.5645,11,put the lime in the coconut as well . . .
FN,1,0,0.2153,16,"i think it is an important thing to consider , but not the only thing ."
TP,1,1,0.7133,5,i've a twin brother .
FP,0,1,0.8549,7,do you have lots of friends ?
FP,0,1,0.6441,13,work is tiring . i would love to travel the world instead .
TP,1,1,0.8822,8,i dream of becoming a famous actress .
TN,0,0,0.4081,9,what kind of procedure will you be needing ?
FN,1,0,0.1359,13,lol . me too . i'm the same way with my camera .
FN,1,0,0.2962,14,"hi . i'm okay . tired , but okay . how are you ?"
TP,1,1,0.9016,6,halloween is my favorite holiday .
TP,1,1,0.7208,7,i love to ride my bike .
TP,1,1,0.5279,9,"i live in california , how about you ?"
FN,1,0,0.3019,20,hmmm . i prefer things the old fashioned way . you . tell me more about vera . please !
FP,0,1,0.8899,10,that's not good . what is your favorite food ?
FN,1,0,0.3426,8,sounds good . i love my cat too
TN,0,0,0.429,7,hi how are you this evening ?
TN,0,0,0.3131,2,you too
FP,0,1,0.5227,13,"pays well , lol . i make great money as the manager ."
FP,0,1,0.6361,6,do you live by yourself ?
TN,0,0,0.2482,13,"i've brown eyes , and brown hair , so we are quite different"
FP,0,1,0.5007,8,"he's a lousy listener though , poops everywhere"
FP,0,1,0.8128,11,"as long as youre having fun , it does not matter"
FP,0,1,0.6017,7,sounds comfortable at least to drive in
FP,0,1,0.649,8,did you see the football games today ?
TP,1,1,0.8012,20,"kim , it is basic but i like it and you ? what is your favorite food to cook ?"
TP,1,1,0.8493,6,my favorite holiday is halloween .
FN,1,0,0.4506,8,i wish i knew where i belonged .
TP,1,1,0.7821,3,i'm married .
FP,0,1,0.8783,13,"max , rodney , and finn . do you have a hobby ?"
TP,1,1,0.5649,6,i can be quite forgetful .
FP,0,1,0.7404,11,fun . have you decided on your major for school ?
FP,0,1,0.5787,7,i will have to do that thanks
TN,0,0,0.4617,13,hey just got done watching the walking dead . what are you doing
TP,1,1,0.8764,5,i like to read .
TP,1,1,0.7998,16,great way to save money . do you like the outdoors ? i love it .
TP,1,1,0.9113,7,i teach at a large school .
FN,1,0,0.1288,17,interesting . i'm a website designer . pretty much spend all my time on the computer .
TN,0,0,0.3799,10,it went so cool . how about for you ?
FP,0,1,0.7414,6,hello there how are you ?
FP,0,1,0.5831,14,"oh wow , i major geology at alabama u . suffer from social anxiety"
TP,1,1,0.8906,3,i'm vegan .
FP,0,1,0.5977,10,if you were rich you wouldn't be saying this .
TP,1,1,0.6396,8,nice i'm asking up money for ap procedure
TP,1,1,0.6989,10,i am jealous ! i am surrounded by farmland .
FP,0,1,0.8009,12,"read , read and then read . bookworm you could say ."
TP,1,1,0.8902,7,i'm asian and have no hair .
FP,0,1,0.5538,15,i bet that is fun ! i sell cars . it is new to me
TP,1,1,0.8631,6,i love to bake cakes .
TN,0,0,0.4873,18,hide the knives ! tell them to leave me alone ! please . you aren't on 59th !
FN,1,0,0.1723,17,retirement is easy ! but i did it to help people and be with my husband .
FN,1,0,0.4784,14,so do you have a profession ? in an orchestra i'm the violinist .
FP,0,1,0.5174,11,"yes but whenever i play , someone always screws up ."
