category,true_label,pred_label,confidence,text_len_words,text
TP,1,1,0.8173,7,yeah i live with my parents now
TN,0,0,0.415,14,"build houses upon request , provide job training , maybe provide some money too"
FP,0,1,0.5771,7,good job that must take patience ?
FN,1,0,0.2318,13,"i'm a pathological liar , i make people upset and we fight ."
TN,0,0,0.3928,17,yes . . . about the batteries exploding ? what kind of work do you do ?
TP,1,1,0.8367,4,i've a cat .
FP,0,1,0.7113,8,"3 years , where do you work ?"
FN,1,0,0.4222,12,"hello , i've to be quick because i work in a hospital"
FP,0,1,0.5714,9,gonna go to the creek with my family !
TP,1,1,0.6825,14,i love people . pretty much a social queen . any other hobbies ?
FP,0,1,0.5417,17,hey how are you ? i wanted to go to florida to surf but no way !
FP,0,1,0.7067,11,i really love mexican food . burritos are my favorite !
TP,1,1,0.8707,11,i love pizza and i love to watch shows about superheroes
TP,1,1,0.771,6,i work at barnes and noble
TP,1,1,0.8275,12,i like fall and winter . summers are too hot here .
TP,1,1,0.6895,7,i'm angela my friends call me bubblegum
FP,0,1,0.6028,14,staying here is fine too though . my two dogs keep me company .
FP,0,1,0.7494,13,dialectical behavioral therapy . i use it to help with my borderline personality
TP,1,1,0.7647,10,i do own it i think there is confusion ?
TN,0,0,0.1089,12,lol nice . . well it was great talking to you !
FP,0,1,0.5714,14,"hi , how are you doing today ? do you have any hobbies ?"
TN,0,0,0.2963,13,they're nice . i cook for them in appreciation of their help .
TP,1,1,0.9143,5,i love collecting teapots .
TP,1,1,0.8412,8,i design video games for a living .
TP,1,1,0.7688,7,i do not know much about cows
FP,0,1,0.5375,14,"just graduated , now teaching kindergarten in ny to 26 angels . you ?"
FN,1,0,0.338,15,"i am doing well , working on my next youtube video . how are you"
TP,1,1,0.8623,7,i work as an interior designer .
FP,0,1,0.7534,6,do you own your own company
TN,0,0,0.1872,13,how did you know that is my favorite ! what about you ?
TP,1,1,0.8029,10,"no , i am more of a computer geek ."
TP,1,1,0.7105,7,i have a horse named beauty .
TP,1,1,0.6292,12,i also remodel homes when i am not out bow hunting .
TP,1,1,0.9272,7,i am under 6 feet tall .
FP,0,1,0.75,6,yes . lots of rabbits .
TP,1,1,0.6027,13,yeah they do all they can for me i'm lucky to have them
TP,1,1,0.6547,7,i've been divorced for 2 years .
FP,0,1,0.655,7,you have a very important job also
TP,1,1,0.5946,14,pie sounds good . maybe you could bake one for my book club .
TP,1,1,0.7566,13,maybe ! would you give them to the people using your app ?
TP,1,1,0.8011,18,"not bad , but since i have six toes on my left foot , it always hurts ."
TN,0,0,0.408,14,"hi , its great . just watching some videos , what about you ?"
TP,1,1,0.8097,9,i am the middle child of 3 siblings .
FP,0,1,0.671,13,my family works for ge . my father included though recently retired .
TP,1,1,0.7854,6,i have a pet snake .
FP,0,1,0.8394,5,what are your favorite things
FP,0,1,0.8955,9,do you have a good relationship with your parents
FN,1,0,0.3529,18,that will be nice . i want to do as much as i can while i'm young .
TP,1,1,0.8965,7,i don t like the beach .
TP,1,1,0.8262,6,zebras are my favorite animals .
TN,0,0,0.4347,9,it is and i can be quite witty .
FP,0,1,0.8717,4,she's almost 8 months
TP,1,1,0.8308,6,that's great ! i like hockey
FP,0,1,0.7868,5,i hike at the park
TP,1,1,0.7279,16,"i'm getting a degree in health science , food and water are important to me ."
FP,0,1,0.5976,9,yes actually . the love and war again .
FP,0,1,0.7482,15,"and interrupted my favorite tv show , the voice . whats your favorite show ?"
FN,1,0,0.4671,15,i thought i'd make a pretty good fashion designer since i love to shop .
TP,1,1,0.8867,11,i can only see 200 feet in front of me .
TP,1,1,0.6464,17,i want to start a juicy bar and needs help . can you help find some ?
TP,1,1,0.8964,7,i watch a lot of tv .
FN,1,0,0.3846,18,that is very selfless of you . what if your target population does not have phone access ?
FP,0,1,0.8791,15,urban farms are the best . there's one on top of my apartment building .
TP,1,1,0.8671,5,i really like technology .
TP,1,1,0.7405,16,"i have a samsung phone but i like i phones better , what about you ?"
FP,0,1,0.8381,7,are you an alien or something ?
TP,1,1,0.8815,11,"i love zebras , you must look cute on those socks"
TN,0,0,0.363,15,that's why i run for long periods so i can keep my sanity intact .
FP,0,1,0.6328,11,cuddle time with the animals ! do you have hobbies ?
TP,1,1,0.7345,14,i am more into hard rock . who do you know from martius ?
TP,1,1,0.8508,11,"i like video games too , fallout is my favorite ."
TP,1,1,0.9062,16,i live with my mom and watch a lot star trek . ever seen it ?
FP,0,1,0.5127,8,"hi , how are you doing today ?"
TN,0,0,0.4095,14,"perhaps , but my father is a minister and he wouldn't like that ."
FP,0,1,0.5157,15,i hear the latest ones are waterproof . maybe i could take it snorkeling !
FN,1,0,0.3951,12,i do not like disappointing and deceiving the people i love .
TP,1,1,0.7325,8,i've sandy brown hair and green eyes .
TP,1,1,0.7809,9,i'm gong to adopt a dog very soon .
TP,1,1,0.8142,6,yellow is my favorite color .
FP,0,1,0.802,7,oh no why are u confined ?
TP,1,1,0.8829,9,i love going shopping when i am not knitting
FP,0,1,0.8657,9,who says fashion designer isn't a real job ?
FN,1,0,0.4364,14,"that is so cool ! i'm more simple , i just like catching sunfish"
FN,1,0,0.3408,16,"i am sure they're easier to communicate with , though . animals are a handful !"
FP,0,1,0.8905,11,can you prove that ? i might eat dust today .
TP,1,1,0.5142,8,i am doing good just feeding my snake
FP,0,1,0.5949,13,that is impressive . do you get a lot of exercise there ?
FN,1,0,0.1776,18,"oh boy do i lol i bake alot when i have spare time , would love to share"
TP,1,1,0.7876,8,i play guitar in the local band .
TP,1,1,0.8979,7,my dad worked for home depot .
FN,1,0,0.4399,12,i play the drums too . i hope you aren't vegetarian .
FP,0,1,0.8636,6,my dog will not stop barking
TN,0,0,0.4476,10,i spend a lot of time in my garden .
FN,1,0,0.2982,14,helping people is my real love . thank you for chatting with me !
TP,1,1,0.6844,13,my favorite music is two steps from hell and rock opera genre .
FP,0,1,0.7309,14,"gas , gas and more gas not gasoline happens when i eat pudding ."
FN,1,0,0.2345,16,"that is ok , the snow can be enjoyable sometimes . i like christmas especially ."
FP,0,1,0.6176,15,very cool . i shoot short films with my cam my folks got me .
FP,0,1,0.8679,5,its hard not to sometimes
TN,0,0,0.3632,17,she might . she thinks she is better than me because she has an actual job .
FP,0,1,0.6067,17,thank you . i also donate blood in honor of my deceased sister . do you ?
TN,0,0,0.4842,6,oh why do you say ?
FP,0,1,0.6973,18,"do you have animals ? i've 1 dog , 1 cat . cat is bigger than dog ."
FN,1,0,0.3378,14,i work as a gourmet cook who also has a pitch perfect voice .
TP,1,1,0.9259,10,i live on the third floor in an apartment .
TP,1,1,0.8188,13,i have not gotten to read lately because i broke my glasses .
FP,0,1,0.583,5,no retired veteran and you
FP,0,1,0.5759,7,that is okay keep working at it
FP,0,1,0.6507,5,hey how are you ?
TN,0,0,0.4121,10,"that's very nice , do you see them often ?"
TN,0,0,0.4813,17,okay . . rough day waiting tables . . headed to class soon . and you ?
FN,1,0,0.3627,16,"i am great , just planning a hike for this weekend . how are you ?"
TP,1,1,0.6979,6,i've a horse named beauty .
TP,1,1,0.8785,8,i got married to my highschool friend .
TP,1,1,0.7678,5,i have two children .
TP,1,1,0.7535,6,my favorite food is cheese .
TP,1,1,0.5853,19,i am still in love with my ex boyfriend but trying to move on . are you single ?
TP,1,1,0.776,5,i like alternative rock .
TP,1,1,0.7277,7,my favorite drink is cuba libre .
TN,0,0,0.4247,12,". yeah , i can see like 200 in front of me"
FP,0,1,0.7287,14,you sure can ! i met him in a cave during halloween last year
TP,1,1,0.5078,13,i do not believe i have read that . is it good ?
TP,1,1,0.6745,14,it is i'm a giant nerd lol . do you sell nice sports cars
TP,1,1,0.8585,7,i'm a graduate student studying law .
TP,1,1,0.7809,6,rock music is my favorite .
TP,1,1,0.9359,6,my husband is a cop .
FP,0,1,0.8988,15,i was a head high school coach until a freak carrot accident . . .
TP,1,1,0.7015,7,i have a dog named bob .
FP,0,1,0.7091,13,lol yes but its worth saying twice . do you like piggies ?
FP,0,1,0.6321,15,it starts with self acceptance and confidence and being proud of who you are .
TP,1,1,0.6323,4,i've one son .
FP,0,1,0.8741,7,are you a boy or a girl
FP,0,1,0.8461,14,i always wear black . except the spikes on my collar are stainless .
TP,1,1,0.8214,8,i do after a long day at work
TP,1,1,0.7254,16,i am a single unemployed mom at the moment . but read tons of book .
FP,0,1,0.7261,15,yes ! i rode my bike to the last one that was in town .
TP,1,1,0.6153,13,the witch is dead . i have a cat his name is speckles
FP,0,1,0.5657,9,do you enjoy the internet ? i sure od
FP,0,1,0.5207,11,great . do you want to be my friend ? ?
TP,1,1,0.7784,18,never . i have been playing since i was four . it pays more than lifting weights .
TP,1,1,0.8419,13,i'm a boy . or a girl . or a cat ink anymore
TP,1,1,0.6761,5,i love to cook .
TP,1,1,0.5851,6,i am great and you ?
TP,1,1,0.812,4,i'm a dancer .
FP,0,1,0.8114,8,what did one hillbilly say to another ?
TP,1,1,0.6605,11,i like to cook a little i am really into larp
TP,1,1,0.6678,13,"i work at one of the major coffee chains , i love it"
FP,0,1,0.7961,14,like how ? how could a pet help a strong man like me ?
TP,1,1,0.6242,14,no but i used to be i am employed at a pizza restaurant .
TP,1,1,0.7624,16,"i do not . my husband wants a boy , he is in the army ."
FP,0,1,0.9223,5,i've wanted an iphone .
FP,0,1,0.7349,12,are there nice gentlemen there that like women with 4 breasts ?
TP,1,1,0.6595,9,i traveled around the world in a boat .
FP,0,1,0.8024,8,do you like to play video games ?
FN,1,0,0.4951,14,why are you so tired ? i can sleep when i am dead .
FP,0,1,0.5784,9,well it is a crime . just saying .
TP,1,1,0.9059,3,i'm tall .
TP,1,1,0.8491,8,i moved out when i was 14 .
FP,0,1,0.7427,9,have you even been to canada for snowboarding ?
FP,0,1,0.8019,8,sure . you like going to concerts ?
TP,1,1,0.8263,11,"hello , are you a comic book collector like me ?"
TN,0,0,0.3096,10,oh maybe you should help me and donate them .
FP,0,1,0.8679,7,why does not she get it ?
FP,0,1,0.7585,6,"watching a movie tonight , titanic"
FP,0,1,0.7347,11,so you have two cats ? what are their names ?
FP,0,1,0.7883,6,do you have any pets ?
TP,1,1,0.7191,16,i am not sure i hope its a boy . my dad is so judgemental .
FP,0,1,0.6063,14,have you tried playing games with them ? role playing can be fun !
TP,1,1,0.8198,10,i had a gig at local theater last night .
TP,1,1,0.7704,13,"i love halo 3 , it is my favorite video game to play"
FP,0,1,0.8503,8,whats free diving ? never heard of it
TP,1,1,0.9088,5,i eat large meals .
TP,1,1,0.8211,12,i do . i travel extensively to europe and south america .
FP,0,1,0.7158,6,hello . how are you ?
TN,0,0,0.2747,18,"single and loving it ! ! living in a boston suburb , there are many fish here ."
TP,1,1,0.8161,5,i am currently unemployed .
FP,0,1,0.6986,7,never give up something you love !
TN,0,0,0.0761,11,same here . i hope to have some one day .
FP,0,1,0.8148,11,"you can eat meat with me , red as my hair"
FP,0,1,0.7846,10,no i don't . have you ever went skydiving ?
TP,1,1,0.5503,16,"i love animals ! i have a dog named allie , and i adore her ."
TP,1,1,0.6587,10,i enjoy the outdoors and love to sit around water
FP,0,1,0.5769,7,hey there how are you tonight ?
FP,0,1,0.7608,6,anything to fix my ugly elf
FP,0,1,0.6322,10,yes ! taking care of children plus two pets too
FP,0,1,0.8689,10,"really . but , i can sing pitch perfect ."
TP,1,1,0.6053,9,"i do love to walk , hike also ."
FP,0,1,0.8123,6,what is your favorite band ?
TP,1,1,0.8427,11,hello . i like to gish with my black lab cat
TP,1,1,0.6318,12,6 ft . feels like i am towering over these females .
TP,1,1,0.7761,5,i'm a hair stylist .
TP,1,1,0.8285,11,wow i love horses what are some of their names ?
TP,1,1,0.833,8,i work on cars for a living .
TN,0,0,0.4504,15,no pets i sometimes think my nephew as pets lol no different than a puppy
FP,0,1,0.8146,12,"i didn't finish school , i enlisted in the army instead ."
FP,0,1,0.7521,11,why is he judgemental ? do you have a job ?
TP,1,1,0.7737,8,i'm trying to get my ba in finance
TP,1,1,0.7639,13,i just accepted a job at the elementary school in my hometown .
TP,1,1,0.8001,12,depends on what inspires your imagination . i like historical colonial reads
TN,0,0,0.474,18,"i hope you don't live in ny , too , there are a lot of pollutants here ."
TN,0,0,0.3542,11,"doing great . i had the day off , you ?"
FN,1,0,0.4306,18,i like to drink beer with my mom . she's my best friend and is sn fun .
TP,1,1,0.8426,7,my favorite book is david copperfield .
FP,0,1,0.8495,10,it is ! what state do you live in ?
TP,1,1,0.8331,14,yes . . . do you know if there's a book 16 candles ?
FP,0,1,0.8457,8,shibamotos art is amazing is not it ?
FP,0,1,0.8308,9,nice . stay in school and work hard .
TN,0,0,0.4242,15,if only i had the money and friends . sadly i don't have either .
TN,0,0,0.4001,6,you'll get there soon enough .
TP,1,1,0.5456,16,"nice , shop me a candy next time as i'm curious how it tastes like ."
FN,1,0,0.4449,14,oh yes . i get weird looks though because i am a girl .
FP,0,1,0.6571,17,"pretty good , drinking a nice cold pepsi , they are awesome . why so tired ?"
TP,1,1,0.81,6,sounds interesting i live in seattle
TP,1,1,0.8448,7,my mom is my best friend .
TP,1,1,0.817,7,my favorite player is mike trout .
FP,0,1,0.8574,7,yes but i only really watch hockey
FP,0,1,0.6061,11,put the lime in the coconut as well . . .
FN,1,0,0.2787,16,"i think it is an important thing to consider , but not the only thing ."
TP,1,1,0.6646,5,i've a twin brother .
FP,0,1,0.8285,7,do you have lots of friends ?
FP,0,1,0.6845,13,work is tiring . i would love to travel the world instead .
TP,1,1,0.8132,8,i dream of becoming a famous actress .
TN,0,0,0.4923,9,what kind of procedure will you be needing ?
FN,1,0,0.2145,13,lol . me too . i'm the same way with my camera .
FN,1,0,0.4436,14,"hi . i'm okay . tired , but okay . how are you ?"
TP,1,1,0.8746,6,halloween is my favorite holiday .
TP,1,1,0.6934,7,i love to ride my bike .
TP,1,1,0.6409,9,"i live in california , how about you ?"
FN,1,0,0.3013,20,hmmm . i prefer things the old fashioned way . you . tell me more about vera . please !
FP,0,1,0.8668,10,that's not good . what is your favorite food ?
FN,1,0,0.4757,8,sounds good . i love my cat too
FP,0,1,0.5855,7,hi how are you this evening ?
TN,0,0,0.379,2,you too
TN,0,0,0.4389,13,"pays well , lol . i make great money as the manager ."
FP,0,1,0.7183,6,do you live by yourself ?
TN,0,0,0.2821,13,"i've brown eyes , and brown hair , so we are quite different"
TN,0,0,0.4097,8,"he's a lousy listener though , poops everywhere"
FP,0,1,0.8175,11,"as long as youre having fun , it does not matter"
FP,0,1,0.6764,7,sounds comfortable at least to drive in
FP,0,1,0.6147,8,did you see the football games today ?
TP,1,1,0.7269,20,"kim , it is basic but i like it and you ? what is your favorite food to cook ?"
TP,1,1,0.8384,6,my favorite holiday is halloween .
FN,1,0,0.3642,8,i wish i knew where i belonged .
TP,1,1,0.7832,3,i'm married .
FP,0,1,0.8815,13,"max , rodney , and finn . do you have a hobby ?"
FN,1,0,0.3493,6,i can be quite forgetful .
FP,0,1,0.78,11,fun . have you decided on your major for school ?
FP,0,1,0.7071,7,i will have to do that thanks
TN,0,0,0.4804,13,hey just got done watching the walking dead . what are you doing
TP,1,1,0.8392,5,i like to read .
TP,1,1,0.7067,16,great way to save money . do you like the outdoors ? i love it .
TP,1,1,0.8995,7,i teach at a large school .
FN,1,0,0.2004,17,interesting . i'm a website designer . pretty much spend all my time on the computer .
TN,0,0,0.4757,10,it went so cool . how about for you ?
FP,0,1,0.7411,6,hello there how are you ?
FP,0,1,0.6626,14,"oh wow , i major geology at alabama u . suffer from social anxiety"
TP,1,1,0.8688,3,i'm vegan .
FP,0,1,0.5741,10,if you were rich you wouldn't be saying this .
TP,1,1,0.6609,8,nice i'm asking up money for ap procedure
TP,1,1,0.7587,10,i am jealous ! i am surrounded by farmland .
FP,0,1,0.7734,12,"read , read and then read . bookworm you could say ."
TP,1,1,0.8553,7,i'm asian and have no hair .
TN,0,0,0.4948,15,i bet that is fun ! i sell cars . it is new to me
TP,1,1,0.8046,6,i love to bake cakes .
TN,0,0,0.4281,18,hide the knives ! tell them to leave me alone ! please . you aren't on 59th !
FN,1,0,0.2699,17,retirement is easy ! but i did it to help people and be with my husband .
TP,1,1,0.5696,14,so do you have a profession ? in an orchestra i'm the violinist .
